event_id,required,final_decision,final_event_type,final_boundary_frame,absence_confirmed,identity_confirmed,notes
pilot_001_enter,auto,,,,,,
pilot_002_exit,auto,,,,,,
pilot_003_enter,auto,,,,,,
pilot_004_exit,auto,,,,,,
pilot_005_enter,auto,,,,,,
pilot_006_exit,auto,,,,,,
pilot_007_enter,auto,,,,,,
pilot_008_exit,auto,,,,,,
pilot_009_enter,auto,,,,,,
pilot_010_exit,auto,,,,,,
pilot_011_enter,auto,,,,,,
pilot_012_exit,auto,,,,,,
pilot_013_enter,auto,,,,,,
pilot_014_exit,auto,,,,,,
pilot_015_enter,auto,,,,,,
pilot_016_exit,auto,,,,,,
pilot_017_enter,auto,,,,,,
pilot_018_exit,auto,,,,,,
pilot_019_enter,auto,,,,,,
pilot_020_exit,auto,,,,,,
pilot_021_enter,auto,,,,,,
pilot_022_exit,auto,,,,,,
pilot_023_enter,auto,,,,,,
pilot_024_exit,auto,,,,,,
pilot_025_enter,auto,,,,,,
pilot_026_exit,auto,,,,,,
pilot_027_enter,auto,,,,,,
pilot_028_exit,auto,,,,,,
pilot_029_enter,auto,,,,,,
pilot_030_exit,auto,,,,,,
pilot_031_enter,auto,,,,,,
pilot_032_exit,auto,,,,,,
pilot_033_enter,auto,,,,,,
