event_id,video_id,concept_id,proposed_event_type,proposed_boundary_frame,playback_transform,review_clip_path,decision,reviewed_event_type,reviewed_boundary_frame,absence_confirmed,identity_confirmed,notes
pilot_001_enter,ytvos2019_valid_00f88c4f0a,person,ENTER,2,identity,data/external/youtube_vos_2019/pilot_review/pilot_001_enter.mp4,,,,,,
pilot_002_exit,ytvos2019_valid_056a2ff390,ball,EXIT,2,time_reverse,data/external/youtube_vos_2019/pilot_review/pilot_002_exit.mp4,,,,,,
pilot_003_enter,ytvos2019_valid_0c03a24f41,person,ENTER,3,identity,data/external/youtube_vos_2019/pilot_review/pilot_003_enter.mp4,,,,,,
pilot_004_exit,ytvos2019_valid_0e4068b53f,person,EXIT,17,time_reverse,data/external/youtube_vos_2019/pilot_review/pilot_004_exit.mp4,,,,,,
pilot_005_enter,ytvos2019_valid_0e8a6b63bb,bird,ENTER,1,identity,data/external/youtube_vos_2019/pilot_review/pilot_005_enter.mp4,,,,,,
pilot_006_exit,ytvos2019_valid_188cb4e03d,car,EXIT,3,time_reverse,data/external/youtube_vos_2019/pilot_review/pilot_006_exit.mp4,,,,,,
pilot_007_enter,ytvos2019_valid_1a894a8f98,person,ENTER,9,identity,data/external/youtube_vos_2019/pilot_review/pilot_007_enter.mp4,,,,,,
pilot_008_exit,ytvos2019_valid_1bcd8a65de,motorcycle,EXIT,8,time_reverse,data/external/youtube_vos_2019/pilot_review/pilot_008_exit.mp4,,,,,,
pilot_009_enter,ytvos2019_valid_1f1396a9ef,person,ENTER,22,identity,data/external/youtube_vos_2019/pilot_review/pilot_009_enter.mp4,,,,,,
pilot_010_exit,ytvos2019_valid_25e493e6d3,car,EXIT,14,time_reverse,data/external/youtube_vos_2019/pilot_review/pilot_010_exit.mp4,,,,,,
pilot_011_enter,ytvos2019_valid_30fe0ed0ce,person,ENTER,4,identity,data/external/youtube_vos_2019/pilot_review/pilot_011_enter.mp4,,,,,,
pilot_012_exit,ytvos2019_valid_37b4ec2e1a,ball,EXIT,18,time_reverse,data/external/youtube_vos_2019/pilot_review/pilot_012_exit.mp4,,,,,,
pilot_013_enter,ytvos2019_valid_48b5ddd1f9,bus,ENTER,4,identity,data/external/youtube_vos_2019/pilot_review/pilot_013_enter.mp4,,,,,,
pilot_014_exit,ytvos2019_valid_54ad024bb3,car,EXIT,7,time_reverse,data/external/youtube_vos_2019/pilot_review/pilot_014_exit.mp4,,,,,,
pilot_015_enter,ytvos2019_valid_5a7ffc2900,dog,ENTER,8,identity,data/external/youtube_vos_2019/pilot_review/pilot_015_enter.mp4,,,,,,
pilot_016_exit,ytvos2019_valid_623d24ce2b,person,EXIT,27,time_reverse,data/external/youtube_vos_2019/pilot_review/pilot_016_exit.mp4,,,,,,
pilot_017_enter,ytvos2019_valid_69c0f7494e,car,ENTER,7,identity,data/external/youtube_vos_2019/pilot_review/pilot_017_enter.mp4,,,,,,
pilot_018_exit,ytvos2019_valid_6ae0cac484,truck,EXIT,7,time_reverse,data/external/youtube_vos_2019/pilot_review/pilot_018_exit.mp4,,,,,,
pilot_019_enter,ytvos2019_valid_6aef3fd036,person,ENTER,3,identity,data/external/youtube_vos_2019/pilot_review/pilot_019_enter.mp4,,,,,,
pilot_020_exit,ytvos2019_valid_7a43728d34,person,EXIT,23,time_reverse,data/external/youtube_vos_2019/pilot_review/pilot_020_exit.mp4,,,,,,
pilot_021_enter,ytvos2019_valid_8c60938d92,car,ENTER,4,identity,data/external/youtube_vos_2019/pilot_review/pilot_021_enter.mp4,,,,,,
pilot_022_exit,ytvos2019_valid_966ff91e06,person,EXIT,13,time_reverse,data/external/youtube_vos_2019/pilot_review/pilot_022_exit.mp4,,,,,,
pilot_023_enter,ytvos2019_valid_9c81364fc6,person,ENTER,3,identity,data/external/youtube_vos_2019/pilot_review/pilot_023_enter.mp4,,,,,,
pilot_024_exit,ytvos2019_valid_a2948d4116,person,EXIT,13,time_reverse,data/external/youtube_vos_2019/pilot_review/pilot_024_exit.mp4,,,,,,
pilot_025_enter,ytvos2019_valid_c42fdedcdd,traffic_sign,ENTER,3,identity,data/external/youtube_vos_2019/pilot_review/pilot_025_enter.mp4,,,,,,
pilot_026_exit,ytvos2019_valid_c7ae3f5883,person,EXIT,11,time_reverse,data/external/youtube_vos_2019/pilot_review/pilot_026_exit.mp4,,,,,,
pilot_027_enter,ytvos2019_valid_d07e930093,person,ENTER,9,identity,data/external/youtube_vos_2019/pilot_review/pilot_027_enter.mp4,,,,,,
pilot_028_exit,ytvos2019_valid_deceeea259,person,EXIT,29,time_reverse,data/external/youtube_vos_2019/pilot_review/pilot_028_exit.mp4,,,,,,
pilot_029_enter,ytvos2019_valid_e3b7297be4,ball,ENTER,16,identity,data/external/youtube_vos_2019/pilot_review/pilot_029_enter.mp4,,,,,,
pilot_030_exit,ytvos2019_valid_eea1a45e49,car,EXIT,14,time_reverse,data/external/youtube_vos_2019/pilot_review/pilot_030_exit.mp4,,,,,,
pilot_031_enter,ytvos2019_valid_f143fede6f,bird,ENTER,6,identity,data/external/youtube_vos_2019/pilot_review/pilot_031_enter.mp4,,,,,,
pilot_032_exit,ytvos2019_valid_f3678388a7,car,EXIT,2,time_reverse,data/external/youtube_vos_2019/pilot_review/pilot_032_exit.mp4,,,,,,
pilot_033_enter,ytvos2019_valid_f99dae3620,car,ENTER,1,identity,data/external/youtube_vos_2019/pilot_review/pilot_033_enter.mp4,,,,,,
