config,selector,channel,bit_depth,guide_profile,guide_family,guide_stage,edge_bit_depth,uncertainty_bit_depth,edge_downsample,uncertainty_downsample,edge_stride,uncertainty_stride,edge_omit,uncertainty_omit,psss_backend_kind,digital_step_policy,fixed_reference_snr_db,ablation_label,n_videos,video_keys,n_videos_expected,all_expected_videos_present,total_frames,total_quality_frames,total_transmitting_frames,valid_frame_ratio,all_finite_metrics,mean_psnr,mean_ssim,mean_lpips,mean_latent_elements,mean_total_bundle_bytes_per_video,mean_total_bundle_bytes_per_frame,mean_n_keyframes_selected,keyframe_count_matched,analog_no_wire_bytes,visual_transport_complete,total_nan_or_inf_frames,nonfinite_stages
fixed_int4__baseline,fixed,int4,4,baseline,baseline,baseline,8,8,1,1,1,1,False,False,,fixed_reference,10.0,,10,"01_person_walk,02_car_pass,03_dog_walk,04_person_car,05_camera_pan_person,06_handheld_sign,07_person_enter,08_car_exit,09_scene_cut_chair_car,10_busy_sidewalk",10,True,1000,1000,83,1.0,True,23.476279297828675,0.7333009636700154,0.2536186347529292,271974.4,2396632.7,23966.326999999997,7.0,,False,True,0,
fixed_int4__combined_ds2,fixed,int4,4,combined_ds2,combined,combined,8,8,2,2,1,1,False,False,,fixed_reference,10.0,,10,"01_person_walk,02_car_pass,03_dog_walk,04_person_car,05_camera_pan_person,06_handheld_sign,07_person_enter,08_car_exit,09_scene_cut_chair_car,10_busy_sidewalk",10,True,1000,1000,83,1.0,True,23.476271742820742,0.733300879627466,0.25361822006106377,271974.4,764786.3,7647.863,7.0,,False,True,0,
fixed_int4__combined_ds4,fixed,int4,4,combined_ds4,combined,combined,8,8,4,4,1,1,False,False,,fixed_reference,10.0,,10,"01_person_walk,02_car_pass,03_dog_walk,04_person_car,05_camera_pan_person,06_handheld_sign,07_person_enter,08_car_exit,09_scene_cut_chair_car,10_busy_sidewalk",10,True,1000,1000,83,1.0,True,23.47626947498322,0.7333008487820625,0.25361807031929495,271974.4,356824.7,3568.2470000000003,7.0,,False,True,0,
fixed_int4__combined_q4,fixed,int4,4,combined_q4,combined,combined,4,4,1,1,1,1,False,False,,fixed_reference,10.0,,10,"01_person_walk,02_car_pass,03_dog_walk,04_person_car,05_camera_pan_person,06_handheld_sign,07_person_enter,08_car_exit,09_scene_cut_chair_car,10_busy_sidewalk",10,True,1000,1000,83,1.0,True,23.476278196334835,0.7333008429706098,0.25361831580102445,271974.4,1308735.1,13087.351,7.0,,False,True,0,
fixed_int4__combined_q4_ds2_reuse2,fixed,int4,4,combined_q4_ds2_reuse2,combined,combined,4,4,2,2,2,2,False,False,,fixed_reference,10.0,,10,"01_person_walk,02_car_pass,03_dog_walk,04_person_car,05_camera_pan_person,06_handheld_sign,07_person_enter,08_car_exit,09_scene_cut_chair_car,10_busy_sidewalk",10,True,1000,1000,83,1.0,True,23.476274637222286,0.7333008894920349,0.2536184018850326,271974.4,370956.1,3709.5609999999992,7.0,,False,True,0,
fixed_int4__combined_reuse2,fixed,int4,4,combined_reuse2,combined,combined,8,8,1,1,2,2,False,False,,fixed_reference,10.0,,10,"01_person_walk,02_car_pass,03_dog_walk,04_person_car,05_camera_pan_person,06_handheld_sign,07_person_enter,08_car_exit,09_scene_cut_chair_car,10_busy_sidewalk",10,True,1000,1000,83,1.0,True,23.476273427963257,0.733301042407751,0.25361826045811176,271974.4,1426085.7,14260.857,7.0,,False,True,0,
fixed_int4__edge_ds2,fixed,int4,4,edge_ds2,edge,individual,8,8,2,1,1,1,False,False,,fixed_reference,10.0,,10,"01_person_walk,02_car_pass,03_dog_walk,04_person_car,05_camera_pan_person,06_handheld_sign,07_person_enter,08_car_exit,09_scene_cut_chair_car,10_busy_sidewalk",10,True,1000,1000,83,1.0,True,23.476271742820742,0.733300879627466,0.25361822006106377,271974.4,1580709.5,15807.094999999998,7.0,,False,True,0,
fixed_int4__edge_ds4,fixed,int4,4,edge_ds4,edge,individual,8,8,4,1,1,1,False,False,,fixed_reference,10.0,,10,"01_person_walk,02_car_pass,03_dog_walk,04_person_car,05_camera_pan_person,06_handheld_sign,07_person_enter,08_car_exit,09_scene_cut_chair_car,10_busy_sidewalk",10,True,1000,1000,83,1.0,True,23.47626947498322,0.7333008487820625,0.25361807031929495,271974.4,1376728.7,13767.287,7.0,,False,True,0,
fixed_int4__edge_omit,fixed,int4,4,edge_omit,edge,individual,8,8,1,1,1,1,True,False,,fixed_reference,10.0,,10,"01_person_walk,02_car_pass,03_dog_walk,04_person_car,05_camera_pan_person,06_handheld_sign,07_person_enter,08_car_exit,09_scene_cut_chair_car,10_busy_sidewalk",10,True,1000,1000,83,1.0,True,23.476271945953375,0.7333008825182914,0.2536187240481377,271974.4,1308096.0,13080.960000000001,7.0,,False,True,0,
fixed_int4__edge_q4,fixed,int4,4,edge_q4,edge,individual,4,8,1,1,1,1,False,False,,fixed_reference,10.0,,10,"01_person_walk,02_car_pass,03_dog_walk,04_person_car,05_camera_pan_person,06_handheld_sign,07_person_enter,08_car_exit,09_scene_cut_chair_car,10_busy_sidewalk",10,True,1000,1000,83,1.0,True,23.476278196334835,0.7333008429706098,0.25361831580102445,271974.4,1852683.9,18526.839,7.0,,False,True,0,
