guide_profile,n_packet_rows,caption_bytes,edge_bytes,edge_uncertainty_bytes,manifest_bytes,semantic_packet_bytes,visual_bytes,bundle_overhead_bytes,total_bundle_bytes,edge_transmit_rows,edge_reuse_rows,edge_zero_rows,uncertainty_transmit_rows,uncertainty_reuse_rows,uncertainty_zero_rows
baseline,1000,32067,10884039,10884039,160503,507439,1410336,87904,23966327,83,0,0,83,0,0
combined_ds2,1000,32067,2724807,2724807,160503,507439,1410336,87904,7647863,83,0,0,83,0,0
combined_ds4,1000,32067,684999,684999,160503,507439,1410336,87904,3568247,83,0,0,83,0,0
combined_q4,1000,32067,5444551,5444551,160503,507439,1410336,87904,13087351,83,0,0,83,0,0
combined_q4_ds2_reuse2,1000,32067,756470,756470,160503,507439,1410336,86276,3709561,46,37,0,46,37,0
combined_reuse2,1000,32067,6032118,6032118,160503,507439,1410336,86276,14260857,46,37,0,46,37,0
edge_ds2,1000,32067,2724807,10884039,160503,507439,1410336,87904,15807095,83,0,0,83,0,0
edge_ds4,1000,32067,684999,10884039,160503,507439,1410336,87904,13767287,83,0,0,83,0,0
edge_omit,1000,32067,0,10884039,160503,507439,1410336,86576,13080960,0,0,83,83,0,0
edge_q4,1000,32067,5444551,10884039,160503,507439,1410336,87904,18526839,83,0,0,83,0,0
edge_reuse2,1000,32067,6032118,10884039,160503,507439,1410336,87312,19113814,46,37,0,83,0,0
uncertainty_ds2,1000,32067,10884039,2724807,160503,507439,1410336,87904,15807095,83,0,0,83,0,0
uncertainty_ds4,1000,32067,10884039,684999,160503,507439,1410336,87904,13767287,83,0,0,83,0,0
uncertainty_omit,1000,32067,10884039,0,160503,507439,1410336,85580,13079964,83,0,0,0,0,83
uncertainty_q4,1000,32067,10884039,5444551,160503,507439,1410336,87904,18526839,83,0,0,83,0,0
uncertainty_reuse2,1000,32067,10884039,6032118,160503,507439,1410336,86868,19113370,83,0,0,46,37,0
