config,guide_profile,guide_family,guide_stage,n_videos,mean_psnr,mean_ssim,mean_lpips,mean_total_bundle_bytes_per_video,psnr_drop_db,ssim_drop,lpips_rise,byte_reduction,byte_reduction_ratio,complete_and_finite,within_quality_gate,edge_bit_depth,uncertainty_bit_depth,edge_downsample,uncertainty_downsample,edge_stride,uncertainty_stride,edge_omit,uncertainty_omit,on_pareto_frontier,rank_by_bytes,selected_minimum_bytes_in_gate
fixed_int4__combined_ds4,combined_ds4,combined,combined,10,23.47626947498322,0.7333008487820625,0.25361807031929495,356824.7,9.822845456142204e-06,1.1488795292891041e-07,-5.644336342203182e-07,2039808.0000000002,0.8511141486135945,True,True,8,8,4,4,1,1,False,False,True,1,True
fixed_int4__combined_q4_ds2_reuse2,combined_q4_ds2_reuse2,combined,combined,10,23.476274637222286,0.7333008894920349,0.2536184018850326,370956.1,4.66060638970589e-06,7.417798053577229e-08,-2.3286789657683826e-07,2025676.6,0.8452177924468777,True,True,4,4,2,2,2,2,False,False,True,2,False
fixed_int4__combined_ds2,combined_ds2,combined,combined,10,23.476271742820742,0.733300879627466,0.25361822006106377,764786.3,7.55500793303554e-06,8.404254936422717e-08,-4.1469186540243896e-07,1631846.4000000001,0.6808913188908755,True,True,8,8,2,2,1,1,False,False,True,3,False
fixed_int4__uncertainty_omit,uncertainty_omit,uncertainty,individual,10,23.476279297828675,0.7333009636700154,0.2536186347529292,1307996.4,0.0,0.0,0.0,1088636.3000000003,0.4542357700451972,True,True,8,8,1,1,1,1,False,True,True,4,False
fixed_int4__edge_omit,edge_omit,edge,individual,10,23.476271945953375,0.7333008825182914,0.2536187240481377,1308096.0,7.351875300543043e-06,8.11517240073556e-08,8.929520850520234e-08,1088536.7000000002,0.45419421173715946,True,True,8,8,1,1,1,1,True,False,False,5,False
fixed_int4__combined_q4,combined_q4,combined,combined,10,23.476278196334835,0.7333008429706098,0.25361831580102445,1308735.1,1.1014938401388008e-06,1.2069940558134817e-07,-3.1895190472086554e-07,1087897.6,0.4539275459272504,True,True,4,4,1,1,1,1,False,False,True,6,False
fixed_int4__edge_ds4,edge_ds4,edge,individual,10,23.47626947498322,0.7333008487820625,0.25361807031929495,1376728.7,9.822845456142204e-06,1.1488795292891041e-07,-5.644336342203182e-07,1019904.0000000002,0.4255570743067973,True,True,8,8,4,1,1,1,False,False,False,7,False
fixed_int4__uncertainty_ds4,uncertainty_ds4,uncertainty,individual,10,23.476279297828675,0.7333009636700154,0.2536186347529292,1376728.7,0.0,0.0,0.0,1019904.0000000002,0.4255570743067973,True,True,8,8,1,4,1,1,False,False,False,8,False
fixed_int4__combined_reuse2,combined_reuse2,combined,combined,10,23.476273427963257,0.733301042407751,0.25361826045811176,1426085.7,5.869865418617337e-06,-7.873773555377994e-08,-3.742948174179084e-07,970547.0000000002,0.40496276296321926,True,True,8,8,1,1,2,2,False,False,True,9,False
fixed_int4__edge_ds2,edge_ds2,edge,individual,10,23.476271742820742,0.733300879627466,0.25361822006106377,1580709.5,7.55500793303554e-06,8.404254936422717e-08,-4.1469186540243896e-07,815923.2000000002,0.3404456594454378,True,True,8,8,2,1,1,1,False,False,False,10,False
fixed_int4__uncertainty_ds2,uncertainty_ds2,uncertainty,individual,10,23.476279297828675,0.7333009636700154,0.2536186347529292,1580709.5,0.0,0.0,0.0,815923.2000000002,0.3404456594454378,True,True,8,8,1,2,1,1,False,False,False,11,False
fixed_int4__edge_q4,edge_q4,edge,individual,10,23.476278196334835,0.7333008429706098,0.25361831580102445,1852683.9,1.1014938401388008e-06,1.2069940558134817e-07,-3.1895190472086554e-07,543948.8000000003,0.22696377296362527,True,True,4,8,1,1,1,1,False,False,False,12,False
fixed_int4__uncertainty_q4,uncertainty_q4,uncertainty,individual,10,23.476279297828675,0.7333009636700154,0.2536186347529292,1852683.9,0.0,0.0,0.0,543948.8000000003,0.22696377296362527,True,True,8,4,1,1,1,1,False,False,False,13,False
fixed_int4__uncertainty_reuse2,uncertainty_reuse2,uncertainty,individual,10,23.476279297828675,0.7333009636700154,0.2536186347529292,1911337.0,0.0,0.0,0.0,485295.7000000002,0.20249064447797951,True,True,8,8,1,1,1,2,False,False,False,14,False
fixed_int4__edge_reuse2,edge_reuse2,edge,individual,10,23.476273427963257,0.733301042407751,0.25361826045811176,1911381.4,5.869865418617337e-06,-7.873773555377994e-08,-3.742948174179084e-07,485251.3000000003,0.20247211848523983,True,True,8,8,1,1,2,1,False,False,False,15,False
fixed_int4__baseline,baseline,baseline,baseline,10,23.476279297828675,0.7333009636700154,0.2536186347529292,2396632.7,0.0,0.0,0.0,0.0,0.0,True,True,8,8,1,1,1,1,False,False,False,16,False
