video,config,frame_index,selector,decision,force_reason,visual_transmitted,reason,psss_backend_kind,latent_elements,analog_channel_symbols,source_packet_bits,estimated_digital_channel_symbols,estimated_wire_bytes,digital_symbols_status,wire_bytes_status
01_person_walk,fixed_int4__baseline,0,fixed,keyframe,first_frame,True,,,32768,,2245056,unavailable,280632.0,unavailable,exact
01_person_walk,fixed_int4__baseline,1,fixed,reuse,,False,,,0,,5312,unavailable,664.0,unavailable,exact
01_person_walk,fixed_int4__baseline,10,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__baseline,11,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__baseline,12,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__baseline,13,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__baseline,14,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__baseline,15,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__baseline,16,fixed,keyframe,selected,True,,,32768,,2245064,unavailable,280633.0,unavailable,exact
01_person_walk,fixed_int4__baseline,17,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__baseline,18,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__baseline,19,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__baseline,2,fixed,reuse,,False,,,0,,5312,unavailable,664.0,unavailable,exact
01_person_walk,fixed_int4__baseline,20,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__baseline,21,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__baseline,22,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__baseline,23,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__baseline,24,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__baseline,25,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__baseline,26,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
