caption_bytes,edge_bytes,edge_uncertainty_bytes,manifest_bytes,semantic_packet_bytes,visual_bytes,bundle_overhead_bytes,total_bundle_bytes,video,config,frame_index,bit_depth,guide_profile,guide_family,guide_stage,edge_bit_depth,uncertainty_bit_depth,edge_downsample,uncertainty_downsample,edge_stride,uncertainty_stride,edge_omit,uncertainty_omit,edge_action,uncertainty_action
281,131133,131133,288,453,16992,352,280632,01_person_walk,fixed_int4__baseline,0,4,baseline,baseline,baseline,8,8,1,1,1,1,False,False,0,0
0,0,0,147,453,0,64,664,01_person_walk,fixed_int4__baseline,1,4,baseline,baseline,baseline,8,8,1,1,1,1,False,False,,
0,0,0,148,453,0,64,665,01_person_walk,fixed_int4__baseline,10,4,baseline,baseline,baseline,8,8,1,1,1,1,False,False,,
0,0,0,148,453,0,64,665,01_person_walk,fixed_int4__baseline,11,4,baseline,baseline,baseline,8,8,1,1,1,1,False,False,,
0,0,0,148,453,0,64,665,01_person_walk,fixed_int4__baseline,12,4,baseline,baseline,baseline,8,8,1,1,1,1,False,False,,
0,0,0,148,453,0,64,665,01_person_walk,fixed_int4__baseline,13,4,baseline,baseline,baseline,8,8,1,1,1,1,False,False,,
0,0,0,148,453,0,64,665,01_person_walk,fixed_int4__baseline,14,4,baseline,baseline,baseline,8,8,1,1,1,1,False,False,,
0,0,0,148,453,0,64,665,01_person_walk,fixed_int4__baseline,15,4,baseline,baseline,baseline,8,8,1,1,1,1,False,False,,
281,131133,131133,289,453,16992,352,280633,01_person_walk,fixed_int4__baseline,16,4,baseline,baseline,baseline,8,8,1,1,1,1,False,False,0,0
0,0,0,148,453,0,64,665,01_person_walk,fixed_int4__baseline,17,4,baseline,baseline,baseline,8,8,1,1,1,1,False,False,,
0,0,0,148,453,0,64,665,01_person_walk,fixed_int4__baseline,18,4,baseline,baseline,baseline,8,8,1,1,1,1,False,False,,
0,0,0,148,453,0,64,665,01_person_walk,fixed_int4__baseline,19,4,baseline,baseline,baseline,8,8,1,1,1,1,False,False,,
0,0,0,147,453,0,64,664,01_person_walk,fixed_int4__baseline,2,4,baseline,baseline,baseline,8,8,1,1,1,1,False,False,,
