config,selector,channel,bit_depth,psss_backend_kind,digital_step_policy,fixed_reference_snr_db,ablation_label,n_videos,video_keys,n_videos_expected,all_expected_videos_present,total_frames,total_quality_frames,total_transmitting_frames,valid_frame_ratio,all_finite_metrics,mean_psnr,mean_ssim,mean_lpips,mean_latent_elements,mean_total_bundle_bytes_per_video,mean_total_bundle_bytes_per_frame,mean_n_keyframes_selected,keyframe_count_matched,analog_no_wire_bytes,visual_transport_complete,total_nan_or_inf_frames,nonfinite_stages
fixed_float32,fixed,float32,32,,fixed_reference,10.0,,10,"01_person_walk,02_car_pass,03_dog_walk,04_person_car,05_camera_pan_person,06_handheld_sign,07_person_enter,08_car_exit,09_scene_cut_chair_car,10_busy_sidewalk",10,True,1000,1000,83,1.0,True,23.528910659790043,0.7353065524995328,0.2541060497388244,271974.4,3346860.5,33468.604999999996,7.0,,False,True,0,
fixed_int16,fixed,int16,16,,fixed_reference,10.0,,10,"01_person_walk,02_car_pass,03_dog_walk,04_person_car,05_camera_pan_person,06_handheld_sign,07_person_enter,08_car_exit,09_scene_cut_chair_car,10_busy_sidewalk",10,True,1000,1000,83,1.0,True,23.528912526130675,0.7353065547943116,0.254105670042336,271974.4,2802711.7,28027.117,7.0,,False,True,0,
fixed_int4,fixed,int4,4,,fixed_reference,10.0,,10,"01_person_walk,02_car_pass,03_dog_walk,04_person_car,05_camera_pan_person,06_handheld_sign,07_person_enter,08_car_exit,09_scene_cut_chair_car,10_busy_sidewalk",10,True,1000,1000,83,1.0,True,23.476279297828675,0.7333009636700154,0.2536186347529292,271974.4,2394650.1,23946.500999999997,7.0,,False,True,0,
fixed_int6,fixed,int6,6,,fixed_reference,10.0,,10,"01_person_walk,02_car_pass,03_dog_walk,04_person_car,05_camera_pan_person,06_handheld_sign,07_person_enter,08_car_exit,09_scene_cut_chair_car,10_busy_sidewalk",10,True,1000,1000,83,1.0,True,23.5266930437088,0.7351980953514576,0.25405197173357014,271974.4,2462643.7,24626.437,7.0,,False,True,0,
fixed_int8,fixed,int8,8,,fixed_reference,10.0,,10,"01_person_walk,02_car_pass,03_dog_walk,04_person_car,05_camera_pan_person,06_handheld_sign,07_person_enter,08_car_exit,09_scene_cut_chair_car,10_busy_sidewalk",10,True,1000,1000,83,1.0,True,23.528194381713867,0.7353016556501389,0.25410470813512803,271974.4,2530637.3,25306.373,7.0,,False,True,0,
skem_float32,skem,float32,32,proxy,fixed_reference,10.0,,10,"01_person_walk,02_car_pass,03_dog_walk,04_person_car,05_camera_pan_person,06_handheld_sign,07_person_enter,08_car_exit,09_scene_cut_chair_car,10_busy_sidewalk",10,True,1000,1000,83,1.0,True,23.528910659790043,0.7353065524995328,0.2541060497388244,271974.4,3346760.5,33467.604999999996,7.0,,False,True,0,
skem_int16,skem,int16,16,proxy,fixed_reference,10.0,,10,"01_person_walk,02_car_pass,03_dog_walk,04_person_car,05_camera_pan_person,06_handheld_sign,07_person_enter,08_car_exit,09_scene_cut_chair_car,10_busy_sidewalk",10,True,1000,1000,83,1.0,True,23.528912526130675,0.7353065547943116,0.254105670042336,271974.4,2802611.7,28026.117,7.0,,False,True,0,
skem_int4,skem,int4,4,proxy,fixed_reference,10.0,,10,"01_person_walk,02_car_pass,03_dog_walk,04_person_car,05_camera_pan_person,06_handheld_sign,07_person_enter,08_car_exit,09_scene_cut_chair_car,10_busy_sidewalk",10,True,1000,1000,83,1.0,True,23.476279297828675,0.7333009636700154,0.2536186347529292,271974.4,2394550.1,23945.500999999997,7.0,,False,True,0,
skem_int6,skem,int6,6,proxy,fixed_reference,10.0,,10,"01_person_walk,02_car_pass,03_dog_walk,04_person_car,05_camera_pan_person,06_handheld_sign,07_person_enter,08_car_exit,09_scene_cut_chair_car,10_busy_sidewalk",10,True,1000,1000,83,1.0,True,23.5266930437088,0.7351980953514576,0.25405197173357014,271974.4,2462543.7,24625.437,7.0,,False,True,0,
skem_int8,skem,int8,8,proxy,fixed_reference,10.0,,10,"01_person_walk,02_car_pass,03_dog_walk,04_person_car,05_camera_pan_person,06_handheld_sign,07_person_enter,08_car_exit,09_scene_cut_chair_car,10_busy_sidewalk",10,True,1000,1000,83,1.0,True,23.528194381713867,0.7353016556501389,0.25410470813512803,271974.4,2530537.3,25305.373,7.0,,False,True,0,
