video,config,frame_index,selector,decision,force_reason,visual_transmitted,reason,psss_backend_kind,latent_elements,analog_channel_symbols,source_packet_bits,estimated_digital_channel_symbols,estimated_wire_bytes,digital_symbols_status,wire_bytes_status
01_person_walk,fixed_float32,0,fixed,keyframe,first_frame,True,,,32768,,3162264,unavailable,395283.0,unavailable,exact
01_person_walk,fixed_float32,1,fixed,reuse,,False,,,0,,5192,unavailable,649.0,unavailable,exact
01_person_walk,fixed_float32,10,fixed,reuse,,False,,,0,,5200,unavailable,650.0,unavailable,exact
01_person_walk,fixed_float32,11,fixed,reuse,,False,,,0,,5200,unavailable,650.0,unavailable,exact
01_person_walk,fixed_float32,12,fixed,reuse,,False,,,0,,5200,unavailable,650.0,unavailable,exact
01_person_walk,fixed_float32,13,fixed,reuse,,False,,,0,,5200,unavailable,650.0,unavailable,exact
01_person_walk,fixed_float32,14,fixed,reuse,,False,,,0,,5200,unavailable,650.0,unavailable,exact
01_person_walk,fixed_float32,15,fixed,reuse,,False,,,0,,5200,unavailable,650.0,unavailable,exact
01_person_walk,fixed_float32,16,fixed,keyframe,selected,True,,,32768,,3162272,unavailable,395284.0,unavailable,exact
01_person_walk,fixed_float32,17,fixed,reuse,,False,,,0,,5200,unavailable,650.0,unavailable,exact
01_person_walk,fixed_float32,18,fixed,reuse,,False,,,0,,5200,unavailable,650.0,unavailable,exact
01_person_walk,fixed_float32,19,fixed,reuse,,False,,,0,,5200,unavailable,650.0,unavailable,exact
01_person_walk,fixed_float32,2,fixed,reuse,,False,,,0,,5192,unavailable,649.0,unavailable,exact
01_person_walk,fixed_float32,20,fixed,reuse,,False,,,0,,5200,unavailable,650.0,unavailable,exact
01_person_walk,fixed_float32,21,fixed,reuse,,False,,,0,,5200,unavailable,650.0,unavailable,exact
01_person_walk,fixed_float32,22,fixed,reuse,,False,,,0,,5200,unavailable,650.0,unavailable,exact
01_person_walk,fixed_float32,23,fixed,reuse,,False,,,0,,5200,unavailable,650.0,unavailable,exact
01_person_walk,fixed_float32,24,fixed,reuse,,False,,,0,,5200,unavailable,650.0,unavailable,exact
01_person_walk,fixed_float32,25,fixed,reuse,,False,,,0,,5200,unavailable,650.0,unavailable,exact
01_person_walk,fixed_float32,26,fixed,reuse,,False,,,0,,5200,unavailable,650.0,unavailable,exact
01_person_walk,fixed_float32,27,fixed,reuse,,False,,,0,,5200,unavailable,650.0,unavailable,exact
01_person_walk,fixed_float32,28,fixed,reuse,,False,,,0,,5200,unavailable,650.0,unavailable,exact
01_person_walk,fixed_float32,29,fixed,reuse,,False,,,0,,5200,unavailable,650.0,unavailable,exact
01_person_walk,fixed_float32,3,fixed,reuse,,False,,,0,,5192,unavailable,649.0,unavailable,exact
01_person_walk,fixed_float32,30,fixed,reuse,,False,,,0,,5200,unavailable,650.0,unavailable,exact
01_person_walk,fixed_float32,31,fixed,reuse,,False,,,0,,5200,unavailable,650.0,unavailable,exact
01_person_walk,fixed_float32,32,fixed,keyframe,selected,True,,,32768,,3162272,unavailable,395284.0,unavailable,exact
01_person_walk,fixed_float32,33,fixed,reuse,,False,,,0,,5200,unavailable,650.0,unavailable,exact
01_person_walk,fixed_float32,34,fixed,reuse,,False,,,0,,5200,unavailable,650.0,unavailable,exact
01_person_walk,fixed_float32,35,fixed,reuse,,False,,,0,,5200,unavailable,650.0,unavailable,exact
01_person_walk,fixed_float32,36,fixed,reuse,,False,,,0,,5200,unavailable,650.0,unavailable,exact
01_person_walk,fixed_float32,37,fixed,reuse,,False,,,0,,5200,unavailable,650.0,unavailable,exact
01_person_walk,fixed_float32,38,fixed,reuse,,False,,,0,,5200,unavailable,650.0,unavailable,exact
01_person_walk,fixed_float32,39,fixed,reuse,,False,,,0,,5200,unavailable,650.0,unavailable,exact
01_person_walk,fixed_float32,4,fixed,reuse,,False,,,0,,5192,unavailable,649.0,unavailable,exact
01_person_walk,fixed_float32,40,fixed,reuse,,False,,,0,,5200,unavailable,650.0,unavailable,exact
01_person_walk,fixed_float32,41,fixed,reuse,,False,,,0,,5200,unavailable,650.0,unavailable,exact
01_person_walk,fixed_float32,42,fixed,reuse,,False,,,0,,5200,unavailable,650.0,unavailable,exact
01_person_walk,fixed_float32,43,fixed,reuse,,False,,,0,,5200,unavailable,650.0,unavailable,exact
01_person_walk,fixed_float32,44,fixed,reuse,,False,,,0,,5200,unavailable,650.0,unavailable,exact
01_person_walk,fixed_float32,45,fixed,reuse,,False,,,0,,5200,unavailable,650.0,unavailable,exact
01_person_walk,fixed_float32,46,fixed,reuse,,False,,,0,,5200,unavailable,650.0,unavailable,exact
01_person_walk,fixed_float32,47,fixed,reuse,,False,,,0,,5200,unavailable,650.0,unavailable,exact
