video,mode,fixed_max_gop,reuse_threshold,psss_backend_kind,selected_psss_threshold,selected_psss_max_segment_length,fixed_n_keyframes,skem_n_keyframes,target_n_transmitting_frames,skem_planned_n_transmitting_frames,transmitting_frame_count_exact,fixed_keyframe_indices,skem_keyframe_indices,fixed_transmitting_indices,skem_transmitting_indices,n_candidates_evaluated,n_exact_transmission_count_candidates
01_person_walk,actual_transmissions,16,0.2,proxy,0.35,16,7,7,7,7,True,"[0, 16, 32, 48, 64, 80, 96]","[0, 16, 32, 48, 64, 80, 96]","[0, 16, 32, 48, 64, 80, 96]","[0, 16, 32, 48, 64, 80, 96]",440,40
02_car_pass,actual_transmissions,16,0.2,proxy,0.35,16,7,7,9,9,True,"[0, 16, 32, 48, 64, 80, 96]","[0, 16, 32, 48, 64, 80, 96]","[0, 14, 15, 16, 32, 48, 64, 80, 96]","[0, 14, 15, 16, 32, 48, 64, 80, 96]",440,36
03_dog_walk,actual_transmissions,16,0.2,proxy,0.35,16,7,7,7,7,True,"[0, 16, 32, 48, 64, 80, 96]","[0, 16, 32, 48, 64, 80, 96]","[0, 16, 32, 48, 64, 80, 96]","[0, 16, 32, 48, 64, 80, 96]",440,40
04_person_car,actual_transmissions,16,0.2,proxy,0.35,16,7,7,7,7,True,"[0, 16, 32, 48, 64, 80, 96]","[0, 16, 32, 48, 64, 80, 96]","[0, 16, 32, 48, 64, 80, 96]","[0, 16, 32, 48, 64, 80, 96]",440,40
05_camera_pan_person,actual_transmissions,16,0.2,proxy,0.35,16,7,7,7,7,True,"[0, 16, 32, 48, 64, 80, 96]","[0, 16, 32, 48, 64, 80, 96]","[0, 16, 32, 48, 64, 80, 96]","[0, 16, 32, 48, 64, 80, 96]",440,40
06_handheld_sign,actual_transmissions,16,0.2,proxy,0.35,16,7,7,7,7,True,"[0, 16, 32, 48, 64, 80, 96]","[0, 16, 32, 48, 64, 80, 96]","[0, 16, 32, 48, 64, 80, 96]","[0, 16, 32, 48, 64, 80, 96]",440,40
07_person_enter,actual_transmissions,16,0.2,proxy,0.35,16,7,7,18,18,True,"[0, 16, 32, 48, 64, 80, 96]","[0, 16, 32, 48, 64, 80, 96]","[0, 16, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 48, 64, 80, 96]","[0, 16, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 48, 64, 80, 96]",440,38
08_car_exit,actual_transmissions,16,0.2,proxy,0.35,16,7,7,7,7,True,"[0, 16, 32, 48, 64, 80, 96]","[0, 16, 32, 48, 64, 80, 96]","[0, 16, 32, 48, 64, 80, 96]","[0, 16, 32, 48, 64, 80, 96]",440,40
09_scene_cut_chair_car,actual_transmissions,16,0.2,proxy,-0.65,16,7,7,7,7,True,"[0, 16, 30, 46, 62, 78, 94]","[0, 16, 30, 46, 62, 78, 94]","[0, 16, 30, 46, 62, 78, 94]","[0, 16, 30, 46, 62, 78, 94]",440,7
10_busy_sidewalk,actual_transmissions,16,0.2,proxy,0.35,16,7,7,7,7,True,"[0, 16, 32, 48, 64, 80, 96]","[0, 16, 32, 48, 64, 80, 96]","[0, 16, 32, 48, 64, 80, 96]","[0, 16, 32, 48, 64, 80, 96]",440,40
