video,config,selector,channel,bit_depth,psss_backend_kind,digital_step_policy,fixed_reference_snr_db,ablation_label,n_frames_total,n_transmitting_frames,n_keyframes_selected,n_nan_or_inf_frames,fixed_selector_kind,fixed_count_target,fixed_max_gop_used,keyframe_count_matched,matched_rate_mode,matched_rate_plan_exact,matched_rate_target_n_transmitting_frames,selected_psss_threshold,selected_psss_max_segment_length,nonfinite_stages,n_quality_frames,valid_frame_ratio,mean_psnr,mean_ssim,mean_lpips,latent_elements_total,analog_channel_symbols_total,source_packet_bits_total,digital_side_information_bytes_total,total_bundle_bytes,total_bundle_bytes_per_frame,analog_no_wire_bytes,visual_transport_complete,total_elapsed_s
01_person_walk,fixed_float32,fixed,float32,32,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,actual_transmissions,True,7,,,,100,1.0,20.731466217041017,0.7721541219949722,0.29497947432100774,229376,,22619424,,2827428,28274.28,False,True,82.969
01_person_walk,fixed_int16,fixed,int16,16,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,actual_transmissions,True,7,,,,100,1.0,20.731477451324462,0.7721538460254669,0.2949777715653181,229376,,18947808,,2368476,23684.76,False,True,88.087
01_person_walk,fixed_int4,fixed,int4,4,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,actual_transmissions,True,7,,,,100,1.0,20.728427963256834,0.7705550873279572,0.29412623688578604,229376,,16194496,,2024312,20243.12,False,True,96.498
01_person_walk,fixed_int6,fixed,int6,6,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,actual_transmissions,True,7,,,,100,1.0,20.73147518157959,0.7720800787210464,0.2948872148245573,229376,,16653248,,2081656,20816.56,False,True,99.367
01_person_walk,fixed_int8,fixed,int8,8,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,actual_transmissions,True,7,,,,100,1.0,20.730823593139647,0.7721326625347138,0.29502584375441077,229376,,17112000,,2139000,21390.0,False,True,96.186
01_person_walk,skem_float32,skem,float32,32,proxy,fixed_reference,10.0,,100,7,7,0,,,,,actual_transmissions,True,7,0.35,16,,100,1.0,20.731466217041017,0.7721541219949722,0.29497947432100774,229376,,22618624,,2827328,28273.28,False,True,90.053
01_person_walk,skem_int16,skem,int16,16,proxy,fixed_reference,10.0,,100,7,7,0,,,,,actual_transmissions,True,7,0.35,16,,100,1.0,20.731477451324462,0.7721538460254669,0.2949777715653181,229376,,18947008,,2368376,23683.76,False,True,83.441
01_person_walk,skem_int4,skem,int4,4,proxy,fixed_reference,10.0,,100,7,7,0,,,,,actual_transmissions,True,7,0.35,16,,100,1.0,20.728427963256834,0.7705550873279572,0.29412623688578604,229376,,16193696,,2024212,20242.12,False,True,91.472
01_person_walk,skem_int6,skem,int6,6,proxy,fixed_reference,10.0,,100,7,7,0,,,,,actual_transmissions,True,7,0.35,16,,100,1.0,20.73147518157959,0.7720800787210464,0.2948872148245573,229376,,16652448,,2081556,20815.56,False,True,88.906
01_person_walk,skem_int8,skem,int8,8,proxy,fixed_reference,10.0,,100,7,7,0,,,,,actual_transmissions,True,7,0.35,16,,100,1.0,20.730823593139647,0.7721326625347138,0.29502584375441077,229376,,17111200,,2138900,21389.0,False,True,89.48
