video,channel,matched_rate_mode,fixed_n_keyframes,skem_n_keyframes,keyframe_count_matched,fixed_n_transmitting_frames,skem_n_transmitting_frames,transmitting_frame_count_matched,fixed_total_bundle_bytes,skem_total_bundle_bytes,fixed_total_bundle_bytes_per_frame,skem_total_bundle_bytes_per_frame,byte_diff_ratio,byte_diff_ratio_tolerance,raw_rate_matched,fixed_padding_bytes,skem_padding_bytes,fixed_effective_total_bytes,skem_effective_total_bytes,effective_bytes_exact,rate_matched
01_person_walk,float32,actual_transmissions,7,7,True,7,7,True,2827428,2827328,28274.28,28273.28,3.536783253189825e-05,0.01,True,0,100,2827428,2827428,True,True
01_person_walk,int16,actual_transmissions,7,7,True,7,7,True,2368476,2368376,23684.76,23683.76,4.222124268939183e-05,0.01,True,0,100,2368476,2368476,True,True
01_person_walk,int4,actual_transmissions,7,7,True,7,7,True,2024312,2024212,20243.12,20242.12,4.939949968186722e-05,0.01,True,0,100,2024312,2024312,True,True
01_person_walk,int6,actual_transmissions,7,7,True,7,7,True,2081656,2081556,20816.56,20815.56,4.8038676899545364e-05,0.01,True,0,100,2081656,2081656,True,True
01_person_walk,int8,actual_transmissions,7,7,True,7,7,True,2139000,2138900,21390.0,21389.0,4.675081813931744e-05,0.01,True,0,100,2139000,2139000,True,True
02_car_pass,float32,actual_transmissions,7,7,True,9,9,True,3617168,3617068,36171.68,36170.68,2.7645937374210984e-05,0.01,True,0,100,3617168,3617168,True,True
02_car_pass,int16,actual_transmissions,7,7,True,9,9,True,3027144,3027044,30271.44,30270.44,3.303443774065588e-05,0.01,True,0,100,3027144,3027144,True,True
02_car_pass,int4,actual_transmissions,7,7,True,9,9,True,2584676,2584576,25846.76,25845.76,3.868956882796915e-05,0.01,True,0,100,2584676,2584676,True,True
02_car_pass,int6,actual_transmissions,7,7,True,9,9,True,2658404,2658304,26584.04,26583.04,3.761655489534322e-05,0.01,True,0,100,2658404,2658404,True,True
02_car_pass,int8,actual_transmissions,7,7,True,9,9,True,2732132,2732032,27321.32,27320.32,3.660145263845232e-05,0.01,True,0,100,2732132,2732132,True,True
03_dog_walk,float32,actual_transmissions,7,7,True,7,7,True,2824580,2824480,28245.8,28244.8,3.54034936167501e-05,0.01,True,0,100,2824580,2824580,True,True
03_dog_walk,int16,actual_transmissions,7,7,True,7,7,True,2365628,2365528,23656.28,23655.28,4.227207320846727e-05,0.01,True,0,100,2365628,2365628,True,True
03_dog_walk,int4,actual_transmissions,7,7,True,7,7,True,2021464,2021364,20214.64,20213.64,4.946909764408369e-05,0.01,True,0,100,2021464,2021464,True,True
03_dog_walk,int6,actual_transmissions,7,7,True,7,7,True,2078808,2078708,20788.08,20787.08,4.8104490650411195e-05,0.01,True,0,100,2078808,2078808,True,True
03_dog_walk,int8,actual_transmissions,7,7,True,7,7,True,2136152,2136052,21361.52,21360.52,4.681314812803583e-05,0.01,True,0,100,2136152,2136152,True,True
04_person_car,float32,actual_transmissions,7,7,True,7,7,True,2821928,2821828,28219.28,28218.28,3.5436765218673194e-05,0.01,True,0,100,2821928,2821928,True,True
04_person_car,int16,actual_transmissions,7,7,True,7,7,True,2362976,2362876,23629.76,23628.76,4.231951572931761e-05,0.01,True,0,100,2362976,2362976,True,True
04_person_car,int4,actual_transmissions,7,7,True,7,7,True,2018812,2018712,20188.12,20187.12,4.9534082420750425e-05,0.01,True,0,100,2018812,2018812,True,True
04_person_car,int6,actual_transmissions,7,7,True,7,7,True,2076156,2076056,20761.56,20760.56,4.816593743437391e-05,0.01,True,0,100,2076156,2076156,True,True
04_person_car,int8,actual_transmissions,7,7,True,7,7,True,2133500,2133400,21335.0,21334.0,4.687133817670495e-05,0.01,True,0,100,2133500,2133500,True,True
05_camera_pan_person,float32,actual_transmissions,7,7,True,7,7,True,2825932,2825832,28259.32,28258.32,3.5386555656682467e-05,0.01,True,0,100,2825932,2825932,True,True
05_camera_pan_person,int16,actual_transmissions,7,7,True,7,7,True,2366980,2366880,23669.8,23668.8,4.2247927739144395e-05,0.01,True,0,100,2366980,2366980,True,True
05_camera_pan_person,int4,actual_transmissions,7,7,True,7,7,True,2022816,2022716,20228.16,20227.16,4.943603372723965e-05,0.01,True,0,100,2022816,2022816,True,True
05_camera_pan_person,int6,actual_transmissions,7,7,True,7,7,True,2080160,2080060,20801.6,20800.6,4.8073225136527956e-05,0.01,True,0,100,2080160,2080160,True,True
05_camera_pan_person,int8,actual_transmissions,7,7,True,7,7,True,2137504,2137404,21375.04,21374.04,4.678353818285252e-05,0.01,True,0,100,2137504,2137504,True,True
06_handheld_sign,float32,actual_transmissions,7,7,True,7,7,True,2838724,2838624,28387.24,28386.24,3.522709499056618e-05,0.01,True,0,100,2838724,2838724,True,True
06_handheld_sign,int16,actual_transmissions,7,7,True,7,7,True,2379772,2379672,23797.72,23796.72,4.202083224779517e-05,0.01,True,0,100,2379772,2379772,True,True
06_handheld_sign,int4,actual_transmissions,7,7,True,7,7,True,2035608,2035508,20356.08,20355.08,4.912537187906513e-05,0.01,True,0,100,2035608,2035608,True,True
06_handheld_sign,int6,actual_transmissions,7,7,True,7,7,True,2092952,2092852,20929.52,20928.52,4.77794044010565e-05,0.01,True,0,100,2092952,2092952,True,True
06_handheld_sign,int8,actual_transmissions,7,7,True,7,7,True,2150296,2150196,21502.96,21501.96,4.650522532711775e-05,0.01,True,0,100,2150296,2150296,True,True
07_person_enter,float32,actual_transmissions,7,7,True,18,18,True,7181769,7181669,71817.69,71816.69,1.3924145986873151e-05,0.01,True,0,100,7181769,7181769,True,True
07_person_enter,int16,actual_transmissions,7,7,True,18,18,True,6001921,6001821,60019.21,60018.21,1.666133226345365e-05,0.01,True,0,100,6001921,6001921,True,True
07_person_enter,int4,actual_transmissions,7,7,True,18,18,True,5117085,5116985,51170.85,51169.85,1.9542376177061747e-05,0.01,True,0,100,5117085,5117085,True,True
07_person_enter,int6,actual_transmissions,7,7,True,18,18,True,5264541,5264441,52645.41,52644.41,1.8995008301768378e-05,0.01,True,0,100,5264541,5264541,True,True
07_person_enter,int8,actual_transmissions,7,7,True,18,18,True,5411997,5411897,54119.97,54118.97,1.8477467744346496e-05,0.01,True,0,100,5411997,5411997,True,True
08_car_exit,float32,actual_transmissions,7,7,True,7,7,True,2850144,2850044,28501.44,28500.44,3.508594653463123e-05,0.01,True,0,100,2850144,2850144,True,True
08_car_exit,int16,actual_transmissions,7,7,True,7,7,True,2391192,2391092,23911.92,23910.92,4.182014660470594e-05,0.01,True,0,100,2391192,2391192,True,True
08_car_exit,int4,actual_transmissions,7,7,True,7,7,True,2047028,2046928,20470.28,20469.28,4.8851310289844597e-05,0.01,True,0,100,2047028,2047028,True,True
08_car_exit,int6,actual_transmissions,7,7,True,7,7,True,2104372,2104272,21043.72,21042.72,4.7520115264791587e-05,0.01,True,0,100,2104372,2104372,True,True
08_car_exit,int8,actual_transmissions,7,7,True,7,7,True,2161716,2161616,21617.16,21616.16,4.6259545657246375e-05,0.01,True,0,100,2161716,2161716,True,True
09_scene_cut_chair_car,float32,actual_transmissions,7,7,True,7,7,True,2832348,2832248,28323.48,28322.48,3.530639596546752e-05,0.01,True,0,100,2832348,2832348,True,True
09_scene_cut_chair_car,int16,actual_transmissions,7,7,True,7,7,True,2373396,2373296,23733.96,23732.96,4.213371894112908e-05,0.01,True,0,100,2373396,2373396,True,True
09_scene_cut_chair_car,int4,actual_transmissions,7,7,True,7,7,True,2029232,2029132,20292.32,20291.32,4.92797275028188e-05,0.01,True,0,100,2029232,2029232,True,True
09_scene_cut_chair_car,int6,actual_transmissions,7,7,True,7,7,True,2086576,2086476,20865.76,20864.76,4.792540506552362e-05,0.01,True,0,100,2086576,2086576,True,True
09_scene_cut_chair_car,int8,actual_transmissions,7,7,True,7,7,True,2143920,2143820,21439.2,21438.2,4.664353147505504e-05,0.01,True,0,100,2143920,2143920,True,True
10_busy_sidewalk,float32,actual_transmissions,7,7,True,7,7,True,2848584,2848484,28485.84,28484.84,3.5105161020352566e-05,0.01,True,0,100,2848584,2848584,True,True
10_busy_sidewalk,int16,actual_transmissions,7,7,True,7,7,True,2389632,2389532,23896.32,23895.32,4.184744764047351e-05,0.01,True,0,100,2389632,2389632,True,True
10_busy_sidewalk,int4,actual_transmissions,7,7,True,7,7,True,2045468,2045368,20454.68,20453.68,4.8888567310757247e-05,0.01,True,0,100,2045468,2045468,True,True
10_busy_sidewalk,int6,actual_transmissions,7,7,True,7,7,True,2102812,2102712,21028.12,21027.12,4.75553687157958e-05,0.01,True,0,100,2102812,2102812,True,True
10_busy_sidewalk,int8,actual_transmissions,7,7,True,7,7,True,2160156,2160056,21601.56,21600.56,4.629295291636345e-05,0.01,True,0,100,2160156,2160156,True,True
