video,config,frame_index,selector,decision,force_reason,visual_transmitted,reason,psss_backend_kind,latent_elements,analog_channel_symbols,source_packet_bits,estimated_digital_channel_symbols,estimated_wire_bytes,digital_symbols_status,wire_bytes_status
01_person_walk,fixed_awgn,0,fixed,keyframe,first_frame,True,,,32768,32768,2107152,unavailable,263394.0,unavailable,exact
01_person_walk,fixed_awgn,1,fixed,reuse,,False,,,0,,5168,unavailable,646.0,unavailable,exact
01_person_walk,fixed_awgn,10,fixed,reuse,,False,,,0,,5176,unavailable,647.0,unavailable,exact
01_person_walk,fixed_awgn,11,fixed,reuse,,False,,,0,,5176,unavailable,647.0,unavailable,exact
01_person_walk,fixed_awgn,12,fixed,reuse,,False,,,0,,5176,unavailable,647.0,unavailable,exact
01_person_walk,fixed_awgn,13,fixed,reuse,,False,,,0,,5176,unavailable,647.0,unavailable,exact
01_person_walk,fixed_awgn,14,fixed,reuse,,False,,,0,,5176,unavailable,647.0,unavailable,exact
01_person_walk,fixed_awgn,15,fixed,reuse,,False,,,0,,5176,unavailable,647.0,unavailable,exact
01_person_walk,fixed_awgn,16,fixed,keyframe,selected,True,,,32768,32768,2107160,unavailable,263395.0,unavailable,exact
01_person_walk,fixed_awgn,17,fixed,reuse,,False,,,0,,5176,unavailable,647.0,unavailable,exact
01_person_walk,fixed_awgn,18,fixed,reuse,,False,,,0,,5176,unavailable,647.0,unavailable,exact
01_person_walk,fixed_awgn,19,fixed,reuse,,False,,,0,,5176,unavailable,647.0,unavailable,exact
01_person_walk,fixed_awgn,2,fixed,reuse,,False,,,0,,5168,unavailable,646.0,unavailable,exact
01_person_walk,fixed_awgn,20,fixed,reuse,,False,,,0,,5176,unavailable,647.0,unavailable,exact
01_person_walk,fixed_awgn,21,fixed,reuse,,False,,,0,,5176,unavailable,647.0,unavailable,exact
01_person_walk,fixed_awgn,22,fixed,reuse,,False,,,0,,5176,unavailable,647.0,unavailable,exact
01_person_walk,fixed_awgn,23,fixed,reuse,,False,,,0,,5176,unavailable,647.0,unavailable,exact
01_person_walk,fixed_awgn,24,fixed,reuse,,False,,,0,,5176,unavailable,647.0,unavailable,exact
01_person_walk,fixed_awgn,25,fixed,reuse,,False,,,0,,5176,unavailable,647.0,unavailable,exact
01_person_walk,fixed_awgn,26,fixed,reuse,,False,,,0,,5176,unavailable,647.0,unavailable,exact
