video,config,selector,channel,bit_depth,psss_backend_kind,digital_step_policy,fixed_reference_snr_db,ablation_label,n_frames_total,n_transmitting_frames,n_keyframes_selected,n_nan_or_inf_frames,fixed_selector_kind,fixed_count_target,fixed_max_gop_used,keyframe_count_matched,nonfinite_stages,n_quality_frames,valid_frame_ratio,mean_psnr,mean_ssim,mean_lpips,latent_elements_total,analog_channel_symbols_total,source_packet_bits_total,digital_side_information_bytes_total,total_bundle_bytes,total_bundle_bytes_per_frame,analog_no_wire_bytes,visual_transport_complete,total_elapsed_s
01_person_walk,fixed_awgn,fixed,awgn,,,,,,100,7,7,0,fixed_max_gop,,16,,,100,1.0,20.701381969451905,0.7684660416841507,0.2960920126736164,229376,229376,15231408,1903926,1903926,19039.26,True,False,79.814
01_person_walk,fixed_float32,fixed,float32,32,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,,100,1.0,20.731466217041017,0.7721541219949722,0.29497947432100774,229376,,22619424,,2827428,28274.28,False,True,77.859
01_person_walk,fixed_int16,fixed,int16,16,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,,100,1.0,20.731477451324462,0.7721538460254669,0.2949777715653181,229376,,18947808,,2368476,23684.76,False,True,92.722
01_person_walk,fixed_int4,fixed,int4,4,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,,100,1.0,20.728427963256834,0.7705550873279572,0.29412623688578604,229376,,16194496,,2024312,20243.12,False,True,87.582
01_person_walk,fixed_int6,fixed,int6,6,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,,100,1.0,20.73147518157959,0.7720800787210464,0.2948872148245573,229376,,16653248,,2081656,20816.56,False,True,90.777
01_person_walk,fixed_int8,fixed,int8,8,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,,100,1.0,20.730823593139647,0.7721326625347138,0.29502584375441077,229376,,17112000,,2139000,21390.0,False,True,96.387
02_car_pass,fixed_awgn,fixed,awgn,,,,,,100,9,7,0,fixed_max_gop,,16,,,100,1.0,23.8971923828125,0.8061144638061524,0.2541205710172653,294912,294912,19439152,2429894,2429894,24298.94,True,False,115.611
02_car_pass,fixed_float32,fixed,float32,32,,fixed_reference,10.0,,100,9,7,0,fixed_max_gop,,16,,,100,1.0,24.02905418395996,0.8098268175125122,0.25453908801078795,294912,,28937344,,3617168,36171.68,False,True,128.707
02_car_pass,fixed_int16,fixed,int16,16,,fixed_reference,10.0,,100,9,7,0,fixed_max_gop,,16,,,100,1.0,24.02905294418335,0.8098269551992416,0.2545400270819664,294912,,24217152,,3027144,30271.44,False,True,137.122
02_car_pass,fixed_int4,fixed,int4,4,,fixed_reference,10.0,,100,9,7,0,fixed_max_gop,,16,,,100,1.0,23.968347969055177,0.8080339980125427,0.2531202486157417,294912,,20677408,,2584676,25846.76,False,True,127.276
02_car_pass,fixed_int6,fixed,int6,6,,fixed_reference,10.0,,100,9,7,0,fixed_max_gop,,16,,,100,1.0,24.02422508239746,0.8097420841455459,0.2545743814110756,294912,,21267232,,2658404,26584.04,False,True,126.588
02_car_pass,fixed_int8,fixed,int8,8,,fixed_reference,10.0,,100,9,7,0,fixed_max_gop,,16,,,100,1.0,24.02787509918213,0.8098405528068543,0.25445665046572685,294912,,21857056,,2732132,27321.32,False,True,138.674
03_dog_walk,fixed_awgn,fixed,awgn,,,,,,100,7,7,0,fixed_max_gop,,16,,,100,1.0,23.862677612304687,0.7751093536615372,0.22719540312886238,229376,229376,15208624,1901078,1901078,19010.78,True,False,79.036
03_dog_walk,fixed_float32,fixed,float32,32,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,,100,1.0,23.992648200988768,0.7817488181591034,0.22727297767996787,229376,,22596640,,2824580,28245.8,False,True,79.383
03_dog_walk,fixed_int16,fixed,int16,16,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,,100,1.0,23.99265745162964,0.781748623251915,0.22727212756872178,229376,,18925024,,2365628,23656.28,False,True,92.269
03_dog_walk,fixed_int4,fixed,int4,4,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,,100,1.0,23.98821990966797,0.7798588043451309,0.22593866318464279,229376,,16171712,,2021464,20214.64,False,True,92.335
03_dog_walk,fixed_int6,fixed,int6,6,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,,100,1.0,23.98722063064575,0.7815930324792862,0.22724007546901703,229376,,16630464,,2078808,20788.08,False,True,96.194
03_dog_walk,fixed_int8,fixed,int8,8,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,,100,1.0,23.992633819580078,0.781744493842125,0.22732339546084404,229376,,17089216,,2136152,21361.52,False,True,99.1
04_person_car,fixed_awgn,fixed,awgn,,,,,,100,7,7,0,fixed_max_gop,,16,,,100,1.0,21.760906867980957,0.5916366928815842,0.23055969186127187,229376,229376,15187408,1898426,1898426,18984.26,True,False,82.797
04_person_car,fixed_float32,fixed,float32,32,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,,100,1.0,21.970386123657228,0.5992626085877418,0.22189802989363672,229376,,22575424,,2821928,28219.28,False,True,86.518
04_person_car,fixed_int16,fixed,int16,16,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,,100,1.0,21.970388298034667,0.5992623209953308,0.22189940445125103,229376,,18903808,,2362976,23629.76,False,True,86.615
04_person_car,fixed_int4,fixed,int4,4,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,,100,1.0,21.918617038726808,0.5970935890078545,0.22278067357838155,229376,,16150496,,2018812,20188.12,False,True,84.738
04_person_car,fixed_int6,fixed,int6,6,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,,100,1.0,21.968113117218017,0.5991876539587975,0.2218787294626236,229376,,16609248,,2076156,20761.56,False,True,88.928
04_person_car,fixed_int8,fixed,int8,8,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,,100,1.0,21.97025457382202,0.5992415842413902,0.22192834503948689,229376,,17068000,,2133500,21335.0,False,True,85.285
05_camera_pan_person,fixed_awgn,fixed,awgn,,,,,,100,7,7,0,fixed_max_gop,,16,,,100,1.0,17.544425506591796,0.38700216859579084,0.39215151250362396,229376,229376,15219440,1902430,1902430,19024.3,True,False,75.747
05_camera_pan_person,fixed_float32,fixed,float32,32,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,,100,1.0,17.691503171920775,0.39551493763923645,0.3906189275532961,229376,,22607456,,2825932,28259.32,False,True,88.09
05_camera_pan_person,fixed_int16,fixed,int16,16,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,,100,1.0,17.691505327224732,0.3955149006843567,0.3906190495938063,229376,,18935840,,2366980,23669.8,False,True,84.76
05_camera_pan_person,fixed_int4,fixed,int4,4,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,,100,1.0,17.665012817382813,0.3938009029626846,0.3905518802255392,229376,,16182528,,2022816,20228.16,False,True,90.09
05_camera_pan_person,fixed_int6,fixed,int6,6,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,,100,1.0,17.6890842628479,0.39539106786251066,0.3906981287151575,229376,,16641280,,2080160,20801.6,False,True,85.824
05_camera_pan_person,fixed_int8,fixed,int8,8,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,,100,1.0,17.691512241363526,0.39551750391721724,0.3906005484610796,229376,,17100032,,2137504,21375.04,False,True,86.274
06_handheld_sign,fixed_awgn,fixed,awgn,,,,,,100,7,7,0,fixed_max_gop,,16,,,100,1.0,20.02697022438049,0.6226713126897812,0.3622469884902239,229376,229376,15321776,1915222,1915222,19152.22,True,False,85.028
06_handheld_sign,fixed_float32,fixed,float32,32,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,,100,1.0,20.01501935005188,0.6260925507545472,0.36123286284506323,229376,,22709792,,2838724,28387.24,False,True,91.928
06_handheld_sign,fixed_int16,fixed,int16,16,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,,100,1.0,20.015033950805662,0.6260925966501236,0.36123063050210474,229376,,19038176,,2379772,23797.72,False,True,91.259
06_handheld_sign,fixed_int4,fixed,int4,4,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,,100,1.0,20.026023511886596,0.6243998825550079,0.3594569467008114,229376,,16284864,,2035608,20356.08,False,True,88.074
06_handheld_sign,fixed_int6,fixed,int6,6,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,,100,1.0,20.013543672561646,0.626006343960762,0.36136436522006987,229376,,16743616,,2092952,20929.52,False,True,91.952
06_handheld_sign,fixed_int8,fixed,int8,8,,fixed_reference,10.0,,100,7,7,0,fixed_max_gop,,16,,,100,1.0,20.014400272369386,0.6260897648334504,0.3612652026116848,229376,,17202368,,2150296,21502.96,False,True,86.717
07_person_enter,fixed_awgn,fixed,awgn,,,,,,100,18,7,0,fixed_max_gop,,16,,,100,1.0,25.608051567077638,0.835937671661377,0.20792663127183914,589824,589824,38460168,4807521,4807521,48075.21,True,False,231.972
