video,threshold,max_segment_length,psss_backend_kind,n_frames,n_keyframes,keyframe_indices
01_person_walk,0.25,12,proxy,100,9,"[0, 12, 24, 36, 48, 60, 72, 84, 96]"
01_person_walk,0.25,16,proxy,100,7,"[0, 16, 32, 48, 64, 80, 96]"
01_person_walk,0.25,24,proxy,100,5,"[0, 24, 48, 72, 96]"
01_person_walk,0.25,32,proxy,100,4,"[0, 32, 64, 96]"
01_person_walk,0.35,12,proxy,100,9,"[0, 12, 24, 36, 48, 60, 72, 84, 96]"
01_person_walk,0.35,16,proxy,100,7,"[0, 16, 32, 48, 64, 80, 96]"
01_person_walk,0.35,24,proxy,100,5,"[0, 24, 48, 72, 96]"
01_person_walk,0.35,32,proxy,100,4,"[0, 32, 64, 96]"
01_person_walk,0.45,12,proxy,100,9,"[0, 12, 24, 36, 48, 60, 72, 84, 96]"
01_person_walk,0.45,16,proxy,100,7,"[0, 16, 32, 48, 64, 80, 96]"
01_person_walk,0.45,24,proxy,100,5,"[0, 24, 48, 72, 96]"
01_person_walk,0.45,32,proxy,100,4,"[0, 32, 64, 96]"
01_person_walk,0.55,12,proxy,100,9,"[0, 12, 24, 36, 48, 60, 72, 84, 96]"
01_person_walk,0.55,16,proxy,100,7,"[0, 16, 32, 48, 64, 80, 96]"
01_person_walk,0.55,24,proxy,100,5,"[0, 24, 48, 72, 96]"
01_person_walk,0.55,32,proxy,100,4,"[0, 32, 64, 96]"
02_car_pass,0.25,12,proxy,100,9,"[0, 12, 24, 36, 48, 60, 72, 84, 96]"
02_car_pass,0.25,16,proxy,100,7,"[0, 16, 32, 48, 64, 80, 96]"
02_car_pass,0.25,24,proxy,100,5,"[0, 24, 48, 72, 96]"
02_car_pass,0.25,32,proxy,100,4,"[0, 32, 64, 96]"
02_car_pass,0.35,12,proxy,100,9,"[0, 12, 24, 36, 48, 60, 72, 84, 96]"
02_car_pass,0.35,16,proxy,100,7,"[0, 16, 32, 48, 64, 80, 96]"
02_car_pass,0.35,24,proxy,100,5,"[0, 24, 48, 72, 96]"
02_car_pass,0.35,32,proxy,100,4,"[0, 32, 64, 96]"
02_car_pass,0.45,12,proxy,100,9,"[0, 12, 24, 36, 48, 60, 72, 84, 96]"
02_car_pass,0.45,16,proxy,100,7,"[0, 16, 32, 48, 64, 80, 96]"
02_car_pass,0.45,24,proxy,100,5,"[0, 24, 48, 72, 96]"
02_car_pass,0.45,32,proxy,100,4,"[0, 32, 64, 96]"
02_car_pass,0.55,12,proxy,100,9,"[0, 12, 24, 36, 48, 60, 72, 84, 96]"
02_car_pass,0.55,16,proxy,100,7,"[0, 16, 32, 48, 64, 80, 96]"
02_car_pass,0.55,24,proxy,100,5,"[0, 24, 48, 72, 96]"
02_car_pass,0.55,32,proxy,100,4,"[0, 32, 64, 96]"
03_dog_walk,0.25,12,proxy,100,9,"[0, 12, 24, 36, 48, 60, 72, 84, 96]"
03_dog_walk,0.25,16,proxy,100,7,"[0, 16, 32, 48, 64, 80, 96]"
03_dog_walk,0.25,24,proxy,100,5,"[0, 24, 48, 72, 96]"
03_dog_walk,0.25,32,proxy,100,4,"[0, 32, 64, 96]"
03_dog_walk,0.35,12,proxy,100,9,"[0, 12, 24, 36, 48, 60, 72, 84, 96]"
03_dog_walk,0.35,16,proxy,100,7,"[0, 16, 32, 48, 64, 80, 96]"
03_dog_walk,0.35,24,proxy,100,5,"[0, 24, 48, 72, 96]"
03_dog_walk,0.35,32,proxy,100,4,"[0, 32, 64, 96]"
03_dog_walk,0.45,12,proxy,100,9,"[0, 12, 24, 36, 48, 60, 72, 84, 96]"
03_dog_walk,0.45,16,proxy,100,7,"[0, 16, 32, 48, 64, 80, 96]"
03_dog_walk,0.45,24,proxy,100,5,"[0, 24, 48, 72, 96]"
03_dog_walk,0.45,32,proxy,100,4,"[0, 32, 64, 96]"
03_dog_walk,0.55,12,proxy,100,9,"[0, 12, 24, 36, 48, 60, 72, 84, 96]"
03_dog_walk,0.55,16,proxy,100,7,"[0, 16, 32, 48, 64, 80, 96]"
03_dog_walk,0.55,24,proxy,100,5,"[0, 24, 48, 72, 96]"
03_dog_walk,0.55,32,proxy,100,4,"[0, 32, 64, 96]"
04_person_car,0.25,12,proxy,100,9,"[0, 12, 24, 36, 48, 60, 72, 84, 96]"
04_person_car,0.25,16,proxy,100,7,"[0, 16, 32, 48, 64, 80, 96]"
04_person_car,0.25,24,proxy,100,5,"[0, 24, 48, 72, 96]"
04_person_car,0.25,32,proxy,100,4,"[0, 32, 64, 96]"
04_person_car,0.35,12,proxy,100,9,"[0, 12, 24, 36, 48, 60, 72, 84, 96]"
04_person_car,0.35,16,proxy,100,7,"[0, 16, 32, 48, 64, 80, 96]"
04_person_car,0.35,24,proxy,100,5,"[0, 24, 48, 72, 96]"
04_person_car,0.35,32,proxy,100,4,"[0, 32, 64, 96]"
04_person_car,0.45,12,proxy,100,9,"[0, 12, 24, 36, 48, 60, 72, 84, 96]"
04_person_car,0.45,16,proxy,100,7,"[0, 16, 32, 48, 64, 80, 96]"
04_person_car,0.45,24,proxy,100,5,"[0, 24, 48, 72, 96]"
04_person_car,0.45,32,proxy,100,4,"[0, 32, 64, 96]"
04_person_car,0.55,12,proxy,100,9,"[0, 12, 24, 36, 48, 60, 72, 84, 96]"
04_person_car,0.55,16,proxy,100,7,"[0, 16, 32, 48, 64, 80, 96]"
04_person_car,0.55,24,proxy,100,5,"[0, 24, 48, 72, 96]"
04_person_car,0.55,32,proxy,100,4,"[0, 32, 64, 96]"
05_camera_pan_person,0.25,12,proxy,100,9,"[0, 12, 24, 36, 48, 60, 72, 84, 96]"
05_camera_pan_person,0.25,16,proxy,100,7,"[0, 16, 32, 48, 64, 80, 96]"
05_camera_pan_person,0.25,24,proxy,100,5,"[0, 24, 48, 72, 96]"
05_camera_pan_person,0.25,32,proxy,100,4,"[0, 32, 64, 96]"
