video,config,selector,channel,bit_depth,psss_backend_kind,n_frames_total,n_transmitting_frames,n_keyframes_selected,n_nan_or_inf_frames,n_quality_frames,valid_frame_ratio,mean_psnr,mean_ssim,mean_lpips,latent_elements_total,analog_channel_symbols_total,source_packet_bits_total,digital_side_information_bytes_total,total_bundle_bytes,analog_no_wire_bytes,visual_transport_complete,total_elapsed_s
01_person_walk,fixed_awgn,fixed,awgn,,,100,7,7,0,100,1.0,20.661474895477294,0.7680535399913788,0.29724159233272074,229376,229376,15231408,1903926,1903926,True,False,52.145
01_person_walk,fixed_int16,fixed,int16,16,,100,7,7,0,100,1.0,20.837308959960936,0.7697608530521393,0.27444946847856044,229376,,18947808,,2368476,False,True,54.328
01_person_walk,fixed_int8,fixed,int8,8,,100,7,7,0,100,1.0,20.834882621765136,0.7698946070671081,0.2749896154552698,229376,,17112000,,2139000,False,True,55.525
01_person_walk,fixed_int6,fixed,int6,6,,100,7,7,0,100,1.0,20.81361270904541,0.771161944270134,0.281104955971241,229376,,16653248,,2081656,False,True,55.275
01_person_walk,fixed_int4,fixed,int4,4,,100,7,7,0,100,1.0,20.744863777160646,0.7707451635599136,0.29518415212631227,229376,,16194496,,2024312,False,True,55.61
01_person_walk,skem_int16,skem,int16,16,proxy,100,7,7,0,100,1.0,20.837313289642335,0.7697607046365738,0.27445021010935305,229376,,18947008,,2368376,False,True,54.899
01_person_walk,skem_int8,skem,int8,8,proxy,100,7,7,0,100,1.0,20.834876804351808,0.76989471077919,0.27499107681214807,229376,,17111200,,2138900,False,True,54.946
01_person_walk,skem_int6,skem,int6,6,proxy,100,7,7,0,100,1.0,20.81361343383789,0.7711618691682816,0.28110486343503,229376,,16652448,,2081556,False,True,55.349
01_person_walk,skem_int4,skem,int4,4,proxy,100,7,7,0,100,1.0,20.744866046905518,0.7707452005147934,0.2951844523102045,229376,,16193696,,2024212,False,True,53.937
02_car_pass,fixed_awgn,fixed,awgn,,,100,9,7,0,100,1.0,23.849318141937257,0.8055297708511353,0.25821227505803107,294912,294912,19439152,2429894,2429894,True,False,67.201
02_car_pass,fixed_int16,fixed,int16,16,,100,9,7,16,84,0.84,24.780969074794225,0.8100296649194899,0.2308139202318021,294912,,24217152,,3027144,False,True,71.566
02_car_pass,fixed_int8,fixed,int8,8,,100,9,7,16,84,0.84,24.774216334025066,0.810010110338529,0.23128927685320377,294912,,21857056,,2732132,False,True,71.628
02_car_pass,fixed_int6,fixed,int6,6,,100,9,7,0,100,1.0,24.198823833465575,0.8125837182998658,0.23770860478281974,294912,,21267232,,2658404,False,True,71.778
02_car_pass,fixed_int4,fixed,int4,4,,100,9,7,0,100,1.0,23.983584938049315,0.8086878949403763,0.2510694606602192,294912,,20677408,,2584676,False,True,70.398
02_car_pass,skem_int16,skem,int16,16,proxy,100,9,7,16,84,0.84,24.780958448137557,0.8100298125119436,0.23081414419270696,294912,,24216352,,3027044,False,True,71.428
02_car_pass,skem_int8,skem,int8,8,proxy,100,9,7,16,84,0.84,24.774227346692765,0.8100101798772812,0.23128992922249295,294912,,21856256,,2732032,False,True,71.103
02_car_pass,skem_int6,skem,int6,6,proxy,100,9,7,0,100,1.0,24.19882423400879,0.8125837379693985,0.23770821698009967,294912,,21266432,,2658304,False,True,70.353
02_car_pass,skem_int4,skem,int4,4,proxy,100,9,7,0,100,1.0,23.98360342025757,0.8086881852149963,0.25107067316770554,294912,,20676608,,2584576,False,True,71.324
03_dog_walk,fixed_awgn,fixed,awgn,,,100,7,7,0,100,1.0,23.823638706207277,0.7747189277410507,0.22584983840584755,229376,229376,15208624,1901078,1901078,True,False,51.596
03_dog_walk,fixed_int16,fixed,int16,16,,100,7,7,0,100,1.0,24.15590148925781,0.7893241709470749,0.19624522335827352,229376,,18925024,,2365628,False,True,55.441
03_dog_walk,fixed_int8,fixed,int8,8,,100,7,7,0,100,1.0,24.153286819458007,0.7892035895586014,0.19676046058535576,229376,,17089216,,2136152,False,True,55.102
03_dog_walk,fixed_int6,fixed,int6,6,,100,7,7,0,100,1.0,24.111178665161134,0.7872368180751801,0.2038911148160696,229376,,16630464,,2078808,False,True,54.525
03_dog_walk,fixed_int4,fixed,int4,4,,100,7,7,0,100,1.0,24.000156192779542,0.7805216950178147,0.22474306538701058,229376,,16171712,,2021464,False,True,55.246
03_dog_walk,skem_int16,skem,int16,16,proxy,100,7,7,0,100,1.0,24.15590358734131,0.7893242567777634,0.19624464839696884,229376,,18924224,,2365528,False,True,55.303
03_dog_walk,skem_int8,skem,int8,8,proxy,100,7,7,0,100,1.0,24.15329635620117,0.7892038780450821,0.1967606897652149,229376,,17088416,,2136052,False,True,54.547
03_dog_walk,skem_int6,skem,int6,6,proxy,100,7,7,0,100,1.0,24.111186141967774,0.7872365921735763,0.203893456235528,229376,,16629664,,2078708,False,True,55.767
03_dog_walk,skem_int4,skem,int4,4,proxy,100,7,7,0,100,1.0,24.00015827178955,0.7805218535661698,0.2247427435219288,229376,,16170912,,2021364,False,True,55.323
04_person_car,fixed_awgn,fixed,awgn,,,100,7,7,0,100,1.0,21.772457866668702,0.591624085009098,0.22853805229067803,229376,229376,15187408,1898426,1898426,True,False,52.303
04_person_car,fixed_int16,fixed,int16,16,,100,7,7,0,100,1.0,22.06667314529419,0.5968268322944641,0.20952042803168297,229376,,18903808,,2362976,False,True,55.223
04_person_car,fixed_int8,fixed,int8,8,,100,7,7,0,100,1.0,22.06609312057495,0.5968527537584305,0.2097002387046814,229376,,17068000,,2133500,False,True,54.867
04_person_car,fixed_int6,fixed,int6,6,,100,7,7,32,68,0.68,22.125471956589642,0.6081546014722656,0.2113469147726017,229376,,16609248,,2076156,False,True,54.704
04_person_car,fixed_int4,fixed,int4,4,,100,7,7,0,100,1.0,21.95036792755127,0.5973279473185539,0.21951984375715256,229376,,16150496,,2018812,False,True,55.291
04_person_car,skem_int16,skem,int16,16,proxy,100,7,7,0,100,1.0,22.06666648864746,0.596826713681221,0.20952185958623887,229376,,18903008,,2362876,False,True,55.438
04_person_car,skem_int8,skem,int8,8,proxy,100,7,7,0,100,1.0,22.06608560562134,0.5968527436256409,0.209699055403471,229376,,17067200,,2133400,False,True,54.134
04_person_car,skem_int6,skem,int6,6,proxy,100,7,7,32,68,0.68,22.125479277442484,0.6081545405528125,0.2113465380800121,229376,,16608448,,2076056,False,True,55.557
04_person_car,skem_int4,skem,int4,4,proxy,100,7,7,0,100,1.0,21.95036169052124,0.5973279973864556,0.2195221772789955,229376,,16149696,,2018712,False,True,55.343
05_camera_pan_person,fixed_awgn,fixed,awgn,,,100,7,7,0,100,1.0,17.543243350982667,0.38754001587629316,0.39360305726528166,229376,229376,15219440,1902430,1902430,True,False,52.242
05_camera_pan_person,fixed_int16,fixed,int16,16,,100,7,7,0,100,1.0,17.717051601409914,0.3871899288892746,0.38047900453209876,229376,,18935840,,2366980,False,True,55.278
05_camera_pan_person,fixed_int8,fixed,int8,8,,100,7,7,0,100,1.0,17.716899976730346,0.3874238991737366,0.3806112643331289,229376,,17100032,,2137504,False,True,53.634
05_camera_pan_person,fixed_int6,fixed,int6,6,,100,7,7,4,96,0.96,17.4746517042319,0.3818597514182329,0.388162459867696,229376,,16641280,,2080160,False,True,54.904
05_camera_pan_person,fixed_int4,fixed,int4,4,,100,7,7,0,100,1.0,17.67834280014038,0.3931586241722107,0.38792601972818375,229376,,16182528,,2022816,False,True,54.89
