video,source_file_bytes,note
01_person_walk,377804,exact source MP4 size only — this is NOT a codec-vs-semantic quality comparison. Run scripts/benchmark_etri_video_rate.py separately (against this run's recon_videos/<video>/<config>/recon.mp4) for a real H.264/H.265/AV1 CRF sweep + quality-matched crossing-point search.
02_car_pass,311867,exact source MP4 size only — this is NOT a codec-vs-semantic quality comparison. Run scripts/benchmark_etri_video_rate.py separately (against this run's recon_videos/<video>/<config>/recon.mp4) for a real H.264/H.265/AV1 CRF sweep + quality-matched crossing-point search.
03_dog_walk,425500,exact source MP4 size only — this is NOT a codec-vs-semantic quality comparison. Run scripts/benchmark_etri_video_rate.py separately (against this run's recon_videos/<video>/<config>/recon.mp4) for a real H.264/H.265/AV1 CRF sweep + quality-matched crossing-point search.
04_person_car,510201,exact source MP4 size only — this is NOT a codec-vs-semantic quality comparison. Run scripts/benchmark_etri_video_rate.py separately (against this run's recon_videos/<video>/<config>/recon.mp4) for a real H.264/H.265/AV1 CRF sweep + quality-matched crossing-point search.
05_camera_pan_person,790414,exact source MP4 size only — this is NOT a codec-vs-semantic quality comparison. Run scripts/benchmark_etri_video_rate.py separately (against this run's recon_videos/<video>/<config>/recon.mp4) for a real H.264/H.265/AV1 CRF sweep + quality-matched crossing-point search.
06_handheld_sign,391436,exact source MP4 size only — this is NOT a codec-vs-semantic quality comparison. Run scripts/benchmark_etri_video_rate.py separately (against this run's recon_videos/<video>/<config>/recon.mp4) for a real H.264/H.265/AV1 CRF sweep + quality-matched crossing-point search.
07_person_enter,279711,exact source MP4 size only — this is NOT a codec-vs-semantic quality comparison. Run scripts/benchmark_etri_video_rate.py separately (against this run's recon_videos/<video>/<config>/recon.mp4) for a real H.264/H.265/AV1 CRF sweep + quality-matched crossing-point search.
08_car_exit,359531,exact source MP4 size only — this is NOT a codec-vs-semantic quality comparison. Run scripts/benchmark_etri_video_rate.py separately (against this run's recon_videos/<video>/<config>/recon.mp4) for a real H.264/H.265/AV1 CRF sweep + quality-matched crossing-point search.
09_scene_cut_chair_car,245493,exact source MP4 size only — this is NOT a codec-vs-semantic quality comparison. Run scripts/benchmark_etri_video_rate.py separately (against this run's recon_videos/<video>/<config>/recon.mp4) for a real H.264/H.265/AV1 CRF sweep + quality-matched crossing-point search.
10_busy_sidewalk,513683,exact source MP4 size only — this is NOT a codec-vs-semantic quality comparison. Run scripts/benchmark_etri_video_rate.py separately (against this run's recon_videos/<video>/<config>/recon.mp4) for a real H.264/H.265/AV1 CRF sweep + quality-matched crossing-point search.
