config,selector,channel,bit_depth,psss_backend_kind,digital_step_policy,ablation_label,n_videos,video_keys,n_videos_expected,all_expected_videos_present,total_frames,total_quality_frames,total_transmitting_frames,valid_frame_ratio,all_finite_metrics,mean_psnr,mean_ssim,mean_lpips,mean_latent_elements,mean_total_bundle_bytes_per_video,mean_total_bundle_bytes_per_frame,mean_n_keyframes_selected,keyframe_count_matched,analog_no_wire_bytes,visual_transport_complete,total_nan_or_inf_frames,nonfinite_stages
fixed_awgn,fixed,awgn,,not_applicable,,,10,"01_person_walk,02_car_pass,03_dog_walk,04_person_car,05_camera_pan_person,06_handheld_sign,07_person_enter,08_car_exit,09_scene_cut_chair_car,10_busy_sidewalk",10,True,1000,1000,89,1.0,True,23.3421150598526,0.7312293364703655,0.2544014848992229,291635.2,2409580.3,24095.803000000004,7.0,True,True,False,0,
fixed_float32,fixed,float32,32,not_applicable,fixed_reference,,10,"01_person_walk,02_car_pass,03_dog_walk,04_person_car,05_camera_pan_person,06_handheld_sign,07_person_enter,08_car_exit,09_scene_cut_chair_car,10_busy_sidewalk",10,True,1000,1000,89,1.0,True,11.31792622947693,0.0810235435217619,0.7394323275089264,291635.2,3583665.7,35836.657,7.0,True,False,True,0,
fixed_int16,fixed,int16,16,not_applicable,fixed_reference,,10,"01_person_walk,02_car_pass,03_dog_walk,04_person_car,05_camera_pan_person,06_handheld_sign,07_person_enter,08_car_exit,09_scene_cut_chair_car,10_busy_sidewalk",10,True,1000,1000,89,1.0,True,11.317917670249937,0.0810232891831547,0.739432067990303,291635.2,3000195.3,30001.953,7.0,True,False,True,0,
fixed_int4,fixed,int4,4,not_applicable,fixed_reference,,10,"01_person_walk,02_car_pass,03_dog_walk,04_person_car,05_camera_pan_person,06_handheld_sign,07_person_enter,08_car_exit,09_scene_cut_chair_car,10_busy_sidewalk",10,True,1000,1000,89,1.0,True,11.206822493553162,0.07652440045960249,0.7459195266366004,291635.2,2562642.5,25626.425,7.0,True,False,True,0,
fixed_int6,fixed,int6,6,not_applicable,fixed_reference,,10,"01_person_walk,02_car_pass,03_dog_walk,04_person_car,05_camera_pan_person,06_handheld_sign,07_person_enter,08_car_exit,09_scene_cut_chair_car,10_busy_sidewalk",10,True,1000,1000,89,1.0,True,11.309459396362303,0.08077288409136237,0.7399960831403731,291635.2,2635551.3,26355.513,7.0,True,False,True,0,
fixed_int8,fixed,int8,8,not_applicable,fixed_reference,,10,"01_person_walk,02_car_pass,03_dog_walk,04_person_car,05_camera_pan_person,06_handheld_sign,07_person_enter,08_car_exit,09_scene_cut_chair_car,10_busy_sidewalk",10,True,1000,1000,89,1.0,True,11.318332998275757,0.08098587620258331,0.7394624274373054,291635.2,2708460.1,27084.601000000002,7.0,True,False,True,0,
skem_float32,skem,float32,32,proxy,fixed_reference,,10,"01_person_walk,02_car_pass,03_dog_walk,04_person_car,05_camera_pan_person,06_handheld_sign,07_person_enter,08_car_exit,09_scene_cut_chair_car,10_busy_sidewalk",10,True,1000,1000,85,1.0,True,11.315310402870178,0.08064335167966782,0.7394076675772667,278528.0,3425709.7,34257.097,7.0,,False,True,0,
skem_int16,skem,int16,16,proxy,fixed_reference,,10,"01_person_walk,02_car_pass,03_dog_walk,04_person_car,05_camera_pan_person,06_handheld_sign,07_person_enter,08_car_exit,09_scene_cut_chair_car,10_busy_sidewalk",10,True,1000,1000,85,1.0,True,11.315311307907105,0.08064368650130929,0.7394074267148971,278528.0,2868453.7,28684.537,7.0,,False,True,0,
skem_int4,skem,int4,4,proxy,fixed_reference,,10,"01_person_walk,02_car_pass,03_dog_walk,04_person_car,05_camera_pan_person,06_handheld_sign,07_person_enter,08_car_exit,09_scene_cut_chair_car,10_busy_sidewalk",10,True,1000,1000,85,1.0,True,11.195439022064209,0.0759747545272112,0.7461560698747635,278528.0,2450561.7,24505.617,7.0,,False,True,0,
skem_int6,skem,int6,6,proxy,fixed_reference,,10,"01_person_walk,02_car_pass,03_dog_walk,04_person_car,05_camera_pan_person,06_handheld_sign,07_person_enter,08_car_exit,09_scene_cut_chair_car,10_busy_sidewalk",10,True,1000,1000,85,1.0,True,11.306912507057191,0.0802533145789057,0.7399099370837211,278528.0,2520193.7,25201.937,7.0,,False,True,0,
skem_int8,skem,int8,8,proxy,fixed_reference,,10,"01_person_walk,02_car_pass,03_dog_walk,04_person_car,05_camera_pan_person,06_handheld_sign,07_person_enter,08_car_exit,09_scene_cut_chair_car,10_busy_sidewalk",10,True,1000,1000,85,1.0,True,11.31449385356903,0.08057939019240438,0.7394574763178825,278528.0,2589825.7,25898.257,7.0,,False,True,0,
