selector,channel,bit_depth,digital_step_policy,ablation_label,psss_backend_kind,reference_channel,n_videos,mean_psnr,mean_ssim,mean_lpips,mean_total_bundle_bytes_per_video,mean_total_bundle_bytes_per_frame,total_nan_or_inf_frames,nonfinite_stages,valid,is_reference,psnr_drop_db,ssim_drop,lpips_rise,byte_ratio_vs_reference,note
fixed,float32,32,fixed_reference,,not_applicable,float32,10,11.31792622947693,0.0810235435217619,0.7394323275089264,3583665.7,35836.657,0,,True,True,,,,,
fixed,int16,16,fixed_reference,,not_applicable,float32,10,11.317917670249937,0.0810232891831547,0.739432067990303,3000195.3,30001.953,0,,True,False,8.559226992943536e-06,2.543386072029197e-07,-2.5951862336892617e-07,0.8371861527150816,
fixed,int4,4,fixed_reference,,not_applicable,float32,10,11.206822493553162,0.07652440045960249,0.7459195266366004,2562642.5,25626.425,0,,True,False,0.1111037359237681,0.004499143062159414,0.006487199127674037,0.7150897194456503,
fixed,int6,6,fixed_reference,,not_applicable,float32,10,11.309459396362303,0.08077288409136237,0.7399960831403731,2635551.3,26355.513,0,,True,False,0.008466833114626482,0.00025065943039953575,0.0005637556314467274,0.7354344742591363,
fixed,int8,8,fixed_reference,,not_applicable,float32,10,11.318332998275757,0.08098587620258331,0.7394624274373054,2708460.1,27084.601000000002,0,,True,False,-0.00040676879882717287,3.766731917859145e-05,3.0099928378990448e-05,0.7557792290726225,
skem,float32,32,fixed_reference,,proxy,float32,10,11.315310402870178,0.08064335167966782,0.7394076675772667,3425709.7,34257.097,0,,True,True,,,,,
skem,int16,16,fixed_reference,,proxy,float32,10,11.315311307907105,0.08064368650130929,0.7394074267148971,2868453.7,28684.537,0,,True,False,-9.05036927179026e-07,-3.3482164146780846e-07,-2.408623696048551e-07,0.837331225118112,
skem,int4,4,fixed_reference,,proxy,float32,10,11.195439022064209,0.0759747545272112,0.7461560698747635,2450561.7,24505.617,0,,True,False,0.11987138080596971,0.004668597152456627,0.006748402297496736,0.7153442394724807,
skem,int6,6,fixed_reference,,proxy,float32,10,11.306912507057191,0.0802533145789057,0.7399099370837211,2520193.7,25201.937,0,,True,False,0.008397895812986889,0.0003900371007621306,0.0005022695064543781,0.7356705385748243,
skem,int8,8,fixed_reference,,proxy,float32,10,11.31449385356903,0.08057939019240438,0.7394574763178825,2589825.7,25898.257,0,,True,False,0.0008165493011489389,6.39614872634392e-05,4.980874061577545e-05,0.7559968376771681,
