video,channel,fixed_n_keyframes,skem_n_keyframes,keyframe_count_matched,fixed_total_bundle_bytes,skem_total_bundle_bytes,fixed_total_bundle_bytes_per_frame,skem_total_bundle_bytes_per_frame,byte_diff_ratio,byte_diff_ratio_tolerance,rate_matched
01_person_walk,float32,7,7,True,2827428,2827328,28274.28,28273.28,3.536783253189825e-05,0.1,True
01_person_walk,int16,7,7,True,2368476,2368376,23684.76,23683.76,4.222124268939183e-05,0.1,True
01_person_walk,int4,7,7,True,2024312,2024212,20243.12,20242.12,4.939949968186722e-05,0.1,True
01_person_walk,int6,7,7,True,2081656,2081556,20816.56,20815.56,4.8038676899545364e-05,0.1,True
01_person_walk,int8,7,7,True,2139000,2138900,21390.0,21389.0,4.675081813931744e-05,0.1,True
02_car_pass,float32,7,7,True,2827916,3617068,28279.16,36170.68,0.21817449934587904,0.1,False
02_car_pass,int16,7,7,True,2368964,3027044,23689.64,30270.44,0.2174002095773963,0.1,False
02_car_pass,int4,7,7,True,2024800,2584576,20248.0,25845.76,0.21658330031695722,0.1,False
02_car_pass,int6,7,7,True,2082144,2658304,20821.44,26583.04,0.21673969568567025,0.1,False
02_car_pass,int8,7,7,True,2139488,2732032,21394.88,27320.32,0.21688764992503748,0.1,False
03_dog_walk,float32,7,7,True,2824580,2824480,28245.8,28244.8,3.54034936167501e-05,0.1,True
03_dog_walk,int16,7,7,True,2365628,2365528,23656.28,23655.28,4.227207320846727e-05,0.1,True
03_dog_walk,int4,7,7,True,2021464,2021364,20214.64,20213.64,4.946909764408369e-05,0.1,True
03_dog_walk,int6,7,7,True,2078808,2078708,20788.08,20787.08,4.8104490650411195e-05,0.1,True
03_dog_walk,int8,7,7,True,2136152,2136052,21361.52,21360.52,4.681314812803583e-05,0.1,True
04_person_car,float32,7,7,True,2821928,2821828,28219.28,28218.28,3.5436765218673194e-05,0.1,True
04_person_car,int16,7,7,True,2362976,2362876,23629.76,23628.76,4.231951572931761e-05,0.1,True
04_person_car,int4,7,7,True,2018812,2018712,20188.12,20187.12,4.9534082420750425e-05,0.1,True
04_person_car,int6,7,7,True,2076156,2076056,20761.56,20760.56,4.816593743437391e-05,0.1,True
04_person_car,int8,7,7,True,2133500,2133400,21335.0,21334.0,4.687133817670495e-05,0.1,True
05_camera_pan_person,float32,7,7,True,2825932,2825832,28259.32,28258.32,3.5386555656682467e-05,0.1,True
05_camera_pan_person,int16,7,7,True,2366980,2366880,23669.8,23668.8,4.2247927739144395e-05,0.1,True
05_camera_pan_person,int4,7,7,True,2022816,2022716,20228.16,20227.16,4.943603372723965e-05,0.1,True
05_camera_pan_person,int6,7,7,True,2080160,2080060,20801.6,20800.6,4.8073225136527956e-05,0.1,True
05_camera_pan_person,int8,7,7,True,2137504,2137404,21375.04,21374.04,4.678353818285252e-05,0.1,True
06_handheld_sign,float32,7,7,True,2838724,2838624,28387.24,28386.24,3.522709499056618e-05,0.1,True
06_handheld_sign,int16,7,7,True,2379772,2379672,23797.72,23796.72,4.202083224779517e-05,0.1,True
06_handheld_sign,int4,7,7,True,2035608,2035508,20356.08,20355.08,4.912537187906513e-05,0.1,True
06_handheld_sign,int6,7,7,True,2092952,2092852,20929.52,20928.52,4.77794044010565e-05,0.1,True
06_handheld_sign,int8,7,7,True,2150296,2150196,21502.96,21501.96,4.650522532711775e-05,0.1,True
07_person_enter,float32,7,7,True,5602273,7181669,56022.73,71816.69,0.21992046695552245,0.1,False
07_person_enter,int16,7,7,True,4684569,6001821,46845.69,60018.21,0.21947538921937193,0.1,False
07_person_enter,int4,7,7,True,3996341,5116985,39963.41,51169.85,0.2190047459588019,0.1,False
07_person_enter,int6,7,7,True,4111029,5264441,41110.29,52644.41,0.21909486686240762,0.1,False
07_person_enter,int8,7,7,True,4225717,5411897,42257.17,54118.97,0.21918007678268822,0.1,False
08_car_exit,float32,7,7,True,2850144,2850044,28501.44,28500.44,3.508594653463123e-05,0.1,True
08_car_exit,int16,7,7,True,2391192,2391092,23911.92,23910.92,4.182014660470594e-05,0.1,True
08_car_exit,int4,7,7,True,2047028,2046928,20470.28,20469.28,4.8851310289844597e-05,0.1,True
08_car_exit,int6,7,7,True,2104372,2104272,21043.72,21042.72,4.7520115264791587e-05,0.1,True
08_car_exit,int8,7,7,True,2161716,2161616,21617.16,21616.16,4.6259545657246375e-05,0.1,True
09_scene_cut_chair_car,float32,7,7,True,7569148,3621740,75691.48,36217.4,0.5215128571934384,0.1,False
09_scene_cut_chair_car,int16,7,7,True,6323764,3031716,63237.64,30317.16,0.5205836270929781,0.1,False
09_scene_cut_chair_car,int4,7,7,True,5389776,2589248,53897.76,25892.48,0.519600072433437,0.1,False
09_scene_cut_chair_car,int6,7,7,True,5545424,2662976,55454.24,26629.76,0.5197885680157189,0.1,False
09_scene_cut_chair_car,int8,7,7,True,5701072,2736704,57010.72,27367.04,0.5199667711616341,0.1,False
10_busy_sidewalk,float32,7,7,True,2848584,2848484,28485.84,28484.84,3.5105161020352566e-05,0.1,True
10_busy_sidewalk,int16,7,7,True,2389632,2389532,23896.32,23895.32,4.184744764047351e-05,0.1,True
10_busy_sidewalk,int4,7,7,True,2045468,2045368,20454.68,20453.68,4.8888567310757247e-05,0.1,True
10_busy_sidewalk,int6,7,7,True,2102812,2102712,21028.12,21027.12,4.75553687157958e-05,0.1,True
10_busy_sidewalk,int8,7,7,True,2160156,2160056,21601.56,21600.56,4.629295291636345e-05,0.1,True
